Country,Indicator,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Lao PDR,"Air transport, passengers carried",328326,323401,302596,443778,532707,877949.8814,1476528,1310124,1181188,1220201,1196041,1251961.786
Latvia,"Air transport, passengers carried",1344912,1371810,1301848,3158051,3299391,2888683,2754720,2636612.759,2527368,2843133,3441024,4058762
Lebanon,"Air transport, passengers carried",1074219,1067774,1308382,1893359,2029610,2148669,2241480,2419476,2591297,2647258,2879528,2981937
Lesotho,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Liberia,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Libya,"Air transport, passengers carried",1204107,1213854,1147234,2928705.68,2284066.501,1398125.134,2744844,2391856,1430460,1283181,1186424,927153.8807
Liechtenstein,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,"Air transport, passengers carried",423585,609847,616514,81450,69445,592996,1009728,1274911,1363946,1046012,1069268,26031
Luxembourg,"Air transport, passengers carried",1039067,1059848,681482,786920,785200,781146,1555788,1710624,1830972,1845726,1901012,2099102
"Macao SAR, China","Air transport, passengers carried",2393294,1866141,1427324,1329721,1327732,1561850,1767100,2078758,2276436,2788571,2776815,3157724
Madagascar,"Air transport, passengers carried",616433,558981,499526,524296,544100.7273,588169,539208,520421,458572,441861,486425,541290
Malawi,"Air transport, passengers carried",154837,159917,157007,91520.1894,82709.54499,53518.998,5856,5856,6011,6744,10545,10545
Malaysia,"Air transport, passengers carried",21325754,22420870,23766316,34239014.17,38218608.85,39165195.22,47995842,49673884,50345820,53817353,58711937,60481772
Maldives,"Air transport, passengers carried",92483,91096,85448,..,..,..,..,1024693.845,1313533,1409704,1485752,1147247
Mali,"Air transport, passengers carried",..,..,..,303692,363857.3759,181742.6142,33444,0,..,..,..,..
Malta,"Air transport, passengers carried",1674773,1708268,1992900,1699829,1673765,1535101,1603404,1588165,1583046,1500824,1575125,2576898
Marshall Islands,"Air transport, passengers carried",29980,29530,27692,..,..,..,..,..,..,..,22435,24313
Mauritania,"Air transport, passengers carried",154662,153895,142355,524817.8947,381075.9236,325239.5236,261696,271212,248158,280215,418817,454435.6972
Mauritius,"Air transport, passengers carried",1277957,1256746,1092580,1265458,1321491,1313976,1318052,1354388,1466527,1593666,1674395,1745291
Mexico,"Air transport, passengers carried",20952513,18825976,15728171,31269061,29538937,32909408.72,35986501.82,39570522,46966763,53313307,58537832,64569640
"Micronesia, Fed. Sts.","Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Moldova,"Air transport, passengers carried",314361,401199,402423,479457,540679,543872,557653,692496,1005936,936254,1092606,1135999
Monaco,"Air transport, passengers carried",101753,84660,63876,59658,63186,65404.36364,64524,64188,60382,12137,316,316
Mongolia,"Air transport, passengers carried",380708,364470,257233,391188,496649.1077,626469.9665,585864,683254,529311,537853,602775,670360
Montenegro,"Air transport, passengers carried",..,..,..,659355.4148,523356,544519,528852,503040,526980,544597,507637,565522
